"site","latitude","longitude"
"ibp",32.5918342473368,-106.850567788775
"ibp",32.5918342473368,-106.848486784302
"ibp",32.5918342473368,-106.84640577983
"ibp",32.5918342473368,-106.844324775357
"ibp",32.5918342473368,-106.842243770884
"ibp",32.5900809232072,-106.850567788775
"ibp",32.5900809232072,-106.848486784302
"ibp",32.5900809232072,-106.84640577983
"ibp",32.5900809232072,-106.844324775357
"ibp",32.5900809232072,-106.842243770884
"ibp",32.5883275647768,-106.850567788775
"ibp",32.5883275647768,-106.848486784302
"ibp",32.5883275647768,-106.84640577983
"ibp",32.5883275647768,-106.844324775357
"ibp",32.5883275647768,-106.842243770884
"ibp",32.5865741720467,-106.850567788775
"ibp",32.5865741720467,-106.848486784302
"ibp",32.5865741720467,-106.84640577983
"ibp",32.5865741720467,-106.844324775357
"ibp",32.5865741720467,-106.842243770884
"ibp",32.5848207450177,-106.850567788775
"ibp",32.5848207450177,-106.848486784302
"ibp",32.5848207450177,-106.84640577983
"ibp",32.5848207450177,-106.844324775357
"ibp",32.5848207450177,-106.842243770884
"jerbajada",32.5834777372659,-106.637152295656
"jerbajada",32.5834777372659,-106.635071291184
"jerbajada",32.5834777372659,-106.632990286711
"jerbajada",32.5834777372659,-106.630909282238
"jerbajada",32.5834777372659,-106.628828277765
"jerbajada",32.5817242496704,-106.637152295656
"jerbajada",32.5817242496704,-106.635071291184
"jerbajada",32.5817242496704,-106.632990286711
"jerbajada",32.5817242496704,-106.630909282238
"jerbajada",32.5817242496704,-106.628828277765
"jerbajada",32.5799707277789,-106.637152295656
"jerbajada",32.5799707277789,-106.635071291184
"jerbajada",32.5799707277789,-106.632990286711
"jerbajada",32.5799707277789,-106.630909282238
"jerbajada",32.5799707277789,-106.628828277765
"jerbajada",32.5782171715922,-106.637152295656
"jerbajada",32.5782171715922,-106.635071291184
"jerbajada",32.5782171715922,-106.632990286711
"jerbajada",32.5782171715922,-106.630909282238
"jerbajada",32.5782171715922,-106.628828277765
"jerbajada",32.5764635811114,-106.637152295656
"jerbajada",32.5764635811114,-106.635071291184
"jerbajada",32.5764635811114,-106.632990286711
"jerbajada",32.5764635811114,-106.630909282238
"jerbajada",32.5764635811114,-106.628828277765
"jergrassland",32.5873202767245,-106.837629095785
"jergrassland",32.5873202767245,-106.835548091312
"jergrassland",32.5873202767245,-106.833467086839
"jergrassland",32.5873202767245,-106.831386082367
"jergrassland",32.5873202767245,-106.829305077894
"jergrassland",32.5855668642902,-106.837629095785
"jergrassland",32.5855668642902,-106.835548091312
"jergrassland",32.5855668642902,-106.833467086839
"jergrassland",32.5855668642902,-106.831386082367
"jergrassland",32.5855668642902,-106.829305077894
"jergrassland",32.5838134175577,-106.837629095785
"jergrassland",32.5838134175577,-106.835548091312
"jergrassland",32.5838134175577,-106.833467086839
"jergrassland",32.5838134175577,-106.831386082367
"jergrassland",32.5838134175577,-106.829305077894
"jergrassland",32.5820599365279,-106.837629095785
"jergrassland",32.5820599365279,-106.835548091312
"jergrassland",32.5820599365279,-106.833467086839
"jergrassland",32.5820599365279,-106.831386082367
"jergrassland",32.5820599365279,-106.829305077894
"jergrassland",32.5803064212019,-106.837629095785
"jergrassland",32.5803064212019,-106.835548091312
"jergrassland",32.5803064212019,-106.833467086839
"jergrassland",32.5803064212019,-106.831386082367
"jergrassland",32.5803064212019,-106.829305077894
"jernort",32.6231712069705,-106.79177213655
"jernort",32.6231712069705,-106.789691132077
"jernort",32.6231712069705,-106.787610127604
"jernort",32.6231712069705,-106.785529123131
"jernort",32.6231712069705,-106.783448118658
"jernort",32.6214184961706,-106.79177213655
"jernort",32.6214184961706,-106.789691132077
"jernort",32.6214184961706,-106.787610127604
"jernort",32.6214184961706,-106.785529123131
"jernort",32.6214184961706,-106.783448118658
"jernort",32.6196657510527,-106.79177213655
"jernort",32.6196657510527,-106.789691132077
"jernort",32.6196657510527,-106.787610127604
"jernort",32.6196657510527,-106.785529123131
"jernort",32.6196657510527,-106.783448118658
"jernort",32.6179129716176,-106.79177213655
"jernort",32.6179129716176,-106.789691132077
"jernort",32.6179129716176,-106.787610127604
"jernort",32.6179129716176,-106.785529123131
"jernort",32.6179129716176,-106.783448118658
"jernort",32.6161601578665,-106.79177213655
"jernort",32.6161601578665,-106.789691132077
"jernort",32.6161601578665,-106.787610127604
"jernort",32.6161601578665,-106.785529123131
"jernort",32.6161601578665,-106.783448118658
"jernovel",32.6377951467861,-106.837172309421
"jernovel",32.6377951467861,-106.835091304948
"jernovel",32.6377951467861,-106.833010300475
"jernovel",32.6377951467861,-106.830929296002
"jernovel",32.6377951467861,-106.828848291529
"jernovel",32.6360427223867,-106.837172309421
