4/7/2007,0.4648,0.6
4/23/2007,0.4187,0.5432
5/9/2007,0.4967,0.5989
5/25/2007,0.8635,0.8298
6/10/2007,0.8382,0.8287
6/26/2007,0.8737,0.8029
7/12/2007,0.8458,0.8719
7/28/2007,0.8351,0.8665
8/13/2007,0.8591,0.807
8/29/2007,0.8695,0.8835
9/14/2007,0.8103,0.8081
9/30/2007,0.7576,0.8027
10/16/2007,0.5977,0.6375
11/1/2007,0.5499,0.6342
11/17/2007,0.541,0.5464
12/3/2007,0.0791,0.1252
12/19/2007,0.2072,0.1481
1/1/2008,0.1808,0.1808
1/17/2008,0.3904,0.3904
2/2/2008,0.209,0.1895
2/18/2008,0.0674,0.1011
3/5/2008,0.3528,0.3952
3/21/2008,0.3784,0.2328
4/6/2008,0.4423,0.4423
4/22/2008,0.4373,0.4345
5/8/2008,0.6166,0.6401
5/24/2008,0.7365,0.7494
6/9/2008,0.8414,0.7945
6/25/2008,0.8527,0.8614
7/11/2008,0.9246,0.8789
7/27/2008,0.8357,0.8357
8/12/2008,0.826,0.8421
8/28/2008,0.9267,0.8036
9/13/2008,0.8199,0.8109
9/29/2008,0.6511,0.6451
10/15/2008,0.6461,0.6484
10/31/2008,0.6107,0.6982
11/16/2008,0.5554,0.5554
12/2/2008,0.5628,0.5778
12/18/2008,0.4344,0.2867
1/1/2009,0.2237,0.5121
1/17/2009,0.1983,0.2249
2/2/2009,0.0937,0.296
2/18/2009,0.1098,0.1528
3/6/2009,0.1239,0.2989
3/22/2009,0.1481,0.1639
4/7/2009,0.4376,0.4555
